year,sex,level_of_school,age,no_of_principals
1996,MF,PRE-UNIVERSITY,30 - 34,0
1996,F,PRE-UNIVERSITY,30 - 34,0
1996,MF,PRE-UNIVERSITY,35 - 39,0
1996,F,PRE-UNIVERSITY,35 - 39,0
1996,MF,PRE-UNIVERSITY,40 - 44,1
1996,F,PRE-UNIVERSITY,40 - 44,1
1996,MF,PRE-UNIVERSITY,45 - 49,6
1996,F,PRE-UNIVERSITY,45 - 49,5
1996,MF,PRE-UNIVERSITY,50 - 54,1
1996,F,PRE-UNIVERSITY,50 - 54,1
1996,MF,PRE-UNIVERSITY,55 & ABOVE,10
1996,F,PRE-UNIVERSITY,55 & ABOVE,5
1996,MF,PRIMARY,30 - 34,0
1996,F,PRIMARY,30 - 34,0
1996,MF,PRIMARY,35 - 39,2
1996,F,PRIMARY,35 - 39,1
1996,MF,PRIMARY,40 - 44,6
1996,F,PRIMARY,40 - 44,5
1996,MF,PRIMARY,45 - 49,81
1996,F,PRIMARY,45 - 49,45
1996,MF,PRIMARY,50 - 54,65
1996,F,PRIMARY,50 - 54,28
1996,MF,PRIMARY,55 & ABOVE,35
1996,F,PRIMARY,55 & ABOVE,8
1996,MF,SECONDARY,30 - 34,1
1996,F,SECONDARY,30 - 34,1
1996,MF,SECONDARY,35 - 39,7
1996,F,SECONDARY,35 - 39,4
1996,MF,SECONDARY,40 - 44,20
1996,F,SECONDARY,40 - 44,12
1996,MF,SECONDARY,45 - 49,46
1996,F,SECONDARY,45 - 49,20
1996,MF,SECONDARY,50 - 54,41
1996,F,SECONDARY,50 - 54,22
1996,MF,SECONDARY,55 & ABOVE,26
1996,F,SECONDARY,55 & ABOVE,13
1997,MF,PRE-UNIVERSITY,30 - 34,0
1997,F,PRE-UNIVERSITY,30 - 34,0
1997,MF,PRE-UNIVERSITY,35 - 39,0
1997,F,PRE-UNIVERSITY,35 - 39,0
1997,MF,PRE-UNIVERSITY,40 - 44,0
1997,F,PRE-UNIVERSITY,40 - 44,0
1997,MF,PRE-UNIVERSITY,45 - 49,6
1997,F,PRE-UNIVERSITY,45 - 49,6
1997,MF,PRE-UNIVERSITY,50 - 54,4
1997,F,PRE-UNIVERSITY,50 - 54,4
1997,MF,PRE-UNIVERSITY,55 & ABOVE,8
1997,F,PRE-UNIVERSITY,55 & ABOVE,5
1997,MF,PRIMARY,30 - 34,0
1997,F,PRIMARY,30 - 34,0
1997,MF,PRIMARY,35 - 39,2
1997,F,PRIMARY,35 - 39,1
1997,MF,PRIMARY,40 - 44,2
1997,F,PRIMARY,40 - 44,2
1997,MF,PRIMARY,45 - 49,64
1997,F,PRIMARY,45 - 49,38
1997,MF,PRIMARY,50 - 54,77
1997,F,PRIMARY,50 - 54,37
1997,MF,PRIMARY,55 & ABOVE,40
1997,F,PRIMARY,55 & ABOVE,14
1997,MF,SECONDARY,30 - 34,3
1997,F,SECONDARY,30 - 34,2
1997,MF,SECONDARY,35 - 39,7
1997,F,SECONDARY,35 - 39,4
1997,MF,SECONDARY,40 - 44,18
1997,F,SECONDARY,40 - 44,12
1997,MF,SECONDARY,45 - 49,41
1997,F,SECONDARY,45 - 49,19
1997,MF,SECONDARY,50 - 54,38
1997,F,SECONDARY,50 - 54,22
1997,MF,SECONDARY,55 & ABOVE,28
1997,F,SECONDARY,55 & ABOVE,12
1998,MF,PRE-UNIVERSITY,30 - 34,0
1998,F,PRE-UNIVERSITY,30 - 34,0
1998,MF,PRE-UNIVERSITY,35 - 39,1
1998,F,PRE-UNIVERSITY,35 - 39,1
1998,MF,PRE-UNIVERSITY,40 - 44,0
1998,F,PRE-UNIVERSITY,40 - 44,0
1998,MF,PRE-UNIVERSITY,45 - 49,2
1998,F,PRE-UNIVERSITY,45 - 49,2
1998,MF,PRE-UNIVERSITY,50 - 54,5
1998,F,PRE-UNIVERSITY,50 - 54,5
1998,MF,PRE-UNIVERSITY,55 & ABOVE,8
1998,F,PRE-UNIVERSITY,55 & ABOVE,6
1998,MF,PRIMARY,30 - 34,0
1998,F,PRIMARY,30 - 34,0
1998,MF,PRIMARY,35 - 39,4
1998,F,PRIMARY,35 - 39,2
1998,MF,PRIMARY,40 - 44,8
1998,F,PRIMARY,40 - 44,7
1998,MF,PRIMARY,45 - 49,42
1998,F,PRIMARY,45 - 49,28
1998,MF,PRIMARY,50 - 54,89
1998,F,PRIMARY,50 - 54,47
1998,MF,PRIMARY,55 & ABOVE,43
1998,F,PRIMARY,55 & ABOVE,16
1998,MF,SECONDARY,30 - 34,0
1998,F,SECONDARY,30 - 34,0
1998,MF,SECONDARY,35 - 39,15
1998,F,SECONDARY,35 - 39,7
1998,MF,SECONDARY,40 - 44,22
1998,F,SECONDARY,40 - 44,13
1998,MF,SECONDARY,45 - 49,27
1998,F,SECONDARY,45 - 49,15
1998,MF,SECONDARY,50 - 54,44
1998,F,SECONDARY,50 - 54,21
1998,MF,SECONDARY,55 & ABOVE,30
1998,F,SECONDARY,55 & ABOVE,14
1999,MF,PRE-UNIVERSITY,30 - 34,0
1999,F,PRE-UNIVERSITY,30 - 34,0
1999,MF,PRE-UNIVERSITY,35 - 39,0
1999,F,PRE-UNIVERSITY,35 - 39,0
1999,MF,PRE-UNIVERSITY,40 - 44,1
1999,F,PRE-UNIVERSITY,40 - 44,1
1999,MF,PRE-UNIVERSITY,45 - 49,3
1999,F,PRE-UNIVERSITY,45 - 49,2
1999,MF,PRE-UNIVERSITY,50 - 54,4
1999,F,PRE-UNIVERSITY,50 - 54,3
1999,MF,PRE-UNIVERSITY,55 & ABOVE,8
1999,F,PRE-UNIVERSITY,55 & ABOVE,6
1999,MF,PRIMARY,30 - 34,0
1999,F,PRIMARY,30 - 34,0
1999,MF,PRIMARY,35 - 39,6
1999,F,PRIMARY,35 - 39,5
1999,MF,PRIMARY,40 - 44,18
1999,F,PRIMARY,40 - 44,13
1999,MF,PRIMARY,45 - 49,31
1999,F,PRIMARY,45 - 49,23
1999,MF,PRIMARY,50 - 54,95
1999,F,PRIMARY,50 - 54,53
1999,MF,PRIMARY,55 & ABOVE,41
1999,F,PRIMARY,55 & ABOVE,17
1999,MF,SECONDARY,30 - 34,1
1999,F,SECONDARY,30 - 34,0
1999,MF,SECONDARY,35 - 39,15
1999,F,SECONDARY,35 - 39,7
1999,MF,SECONDARY,40 - 44,25
1999,F,SECONDARY,40 - 44,15
1999,MF,SECONDARY,45 - 49,22
1999,F,SECONDARY,45 - 49,13
1999,MF,SECONDARY,50 - 54,52
1999,F,SECONDARY,50 - 54,28
1999,MF,SECONDARY,55 & ABOVE,29
1999,F,SECONDARY,55 & ABOVE,13
2000,MF,PRE-UNIVERSITY,30 - 34,0
2000,F,PRE-UNIVERSITY,30 - 34,0
2000,MF,PRE-UNIVERSITY,35 - 39,0
2000,F,PRE-UNIVERSITY,35 - 39,0
2000,MF,PRE-UNIVERSITY,40 - 44,0
2000,F,PRE-UNIVERSITY,40 - 44,0
2000,MF,PRE-UNIVERSITY,45 - 49,3
2000,F,PRE-UNIVERSITY,45 - 49,2
2000,MF,PRE-UNIVERSITY,50 - 54,7
2000,F,PRE-UNIVERSITY,50 - 54,5
2000,MF,PRE-UNIVERSITY,55 & ABOVE,7
2000,F,PRE-UNIVERSITY,55 & ABOVE,6
2000,MF,PRIMARY,30 - 34,0
2000,F,PRIMARY,30 - 34,0
2000,MF,PRIMARY,35 - 39,5
2000,F,PRIMARY,35 - 39,4
2000,MF,PRIMARY,40 - 44,27
2000,F,PRIMARY,40 - 44,20
2000,MF,PRIMARY,45 - 49,22
2000,F,PRIMARY,45 - 49,18
2000,MF,PRIMARY,50 - 54,96
2000,F,PRIMARY,50 - 54,57
